## -*- mode: org; -*-

## The data in this file are auto-generated from
##    https://interactivebrokers.github.io/tws-api/message_codes.html

| Code  | TWS message                                                                                                                                                                                                                                                                   | Additional notes                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 160   | The size value cannot be zero.                                                                                                                                                                                                                                                | The size of an order must be a positive quantity.                                                                                                                                                                                                                                                                                                                                                                                        |
| 161   | Cancel attempted when order is not in a cancellable state. Order permId =                                                                                                                                                                                                     | An attempt was made to cancel an order not active at the time.                                                                                                                                                                                                                                                                                                                                                                           |
| 162   | Historical market data Service error message.                                                                                                                                                                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 163   | The price specified would violate the percentage constraint specified in the default order settings.                                                                                                                                                                          | The order price entered is outside the allowable range specified in the Order Precautionary Settings of TWS or IB Gateway                                                                                                                                                                                                                                                                                                                |
| 164   | There is no market data to check price percent violations.                                                                                                                                                                                                                    | No market data is available for the specified contract to determine whether the specified price is outside the price percent precautionary order setting.                                                                                                                                                                                                                                                                                |
| 165   | Historical market Data Service query message.                                                                                                                                                                                                                                 | There was an issue with a historical data request, such is no such data in IB's database. Note this message is not specific to the API.                                                                                                                                                                                                                                                                                                  |
| 166   | HMDS Expired Contract Violation.                                                                                                                                                                                                                                              | Historical data is not available for the specified expired contract.                                                                                                                                                                                                                                                                                                                                                                     |
| 167   | VWAP order time must be in the future.                                                                                                                                                                                                                                        | The start time of a VWAP order has already passed.                                                                                                                                                                                                                                                                                                                                                                                       |
| 168   | Discretionary amount does not conform to the minimum price variation for this contract.                                                                                                                                                                                       | The discretionary field is specified with a number of degrees of precision higher than what is allowed for a specified contract.                                                                                                                                                                                                                                                                                                         |
| 201   | Order rejected - Reason:                                                                                                                                                                                                                                                      | An attempted order was rejected by the IB servers. See Order Placement Considerations for additional information/considerations for these errors.                                                                                                                                                                                                                                                                                        |
| 202   | Order cancelled - Reason:                                                                                                                                                                                                                                                     | An active order on the IB server was cancelled. See Order Placement Considerations for additional information/considerations for these errors.                                                                                                                                                                                                                                                                                           |
| 203   | The security <security> is not available or allowed for this account.                                                                                                                                                                                                         | The specified security has a trading restriction with a specific account.                                                                                                                                                                                                                                                                                                                                                                |
| 300   | Can't find EId with ticker Id:                                                                                                                                                                                                                                                | An attempt was made to cancel market data for a ticker ID that was not associated with a current subscription. With the DDE API this occurs by clearing the spreadsheet cell.                                                                                                                                                                                                                                                            |
| 301   | Invalid ticker action:                                                                                                                                                                                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 302   | Error parsing stop ticker string:                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 303   | Invalid action:                                                                                                                                                                                                                                                               | An action field was specified that is not available for the account. For most accounts this is only BUY or SELL. Some institutional accounts also have the options SSHORT or SLONG available.                                                                                                                                                                                                                                            |
| 304   | Invalid account value action:                                                                                                                                                                                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 305   | Request parsing error, the request has been ignored.                                                                                                                                                                                                                          | The syntax of a DDE request is invalid.                                                                                                                                                                                                                                                                                                                                                                                                  |
| 306   | Error processing DDE request:                                                                                                                                                                                                                                                 | An issue with a DDE request prevented it from processing.                                                                                                                                                                                                                                                                                                                                                                                |
| 307   | Invalid request topic:                                                                                                                                                                                                                                                        | The 'topic' field in a DDE request is invalid.                                                                                                                                                                                                                                                                                                                                                                                           |
| 308   | Unable to create the 'API' page in TWS as the maximum number of pages already exists.                                                                                                                                                                                         | An order placed from the API will automatically open a new page in classic TWS, however there are already the maximum number of pages open.                                                                                                                                                                                                                                                                                              |
| 309   | Max number (3) of market depth requests has been reached. Note: TWS currently limits users to a maximum of 3 distinct market depth requests. This same restriction applies to API clients, however API clients may make multiple market depth requests for the same security. |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 310   | Can't find the subscribed market depth with tickerId:                                                                                                                                                                                                                         | An attempt was made to cancel market depth for a ticker not currently active.                                                                                                                                                                                                                                                                                                                                                            |
| 311   | The origin is invalid.                                                                                                                                                                                                                                                        | The origin field specified in the Order class is invalid.                                                                                                                                                                                                                                                                                                                                                                                |
| 312   | The combo details are invalid.                                                                                                                                                                                                                                                | Combination contract specified has invalid parameters.                                                                                                                                                                                                                                                                                                                                                                                   |
| 313   | The combo details for leg '<leg number>' are invalid.                                                                                                                                                                                                                         | A combo leg was not defined correctly.                                                                                                                                                                                                                                                                                                                                                                                                   |
| 314   | Security type 'BAG' requires combo leg details.                                                                                                                                                                                                                               | When specifying security type as 'BAG' make sure to also add combo legs with details.                                                                                                                                                                                                                                                                                                                                                    |
| 315   | Stock combo legs are restricted to SMART order routing.                                                                                                                                                                                                                       | Make sure to specify 'SMART' as an exchange when using stock combo contracts.                                                                                                                                                                                                                                                                                                                                                            |
| 316   | Market depth data has been HALTED. Please re-subscribe.                                                                                                                                                                                                                       | You need to re-subscribe to start receiving market depth data again.                                                                                                                                                                                                                                                                                                                                                                     |
| 317   | Market depth data has been RESET. Please empty deep book contents before applying any new entries.                                                                                                                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 319   | Invalid log level <log level>                                                                                                                                                                                                                                                 | Make sure that you are setting a log level to a value in range of 1 to 5.                                                                                                                                                                                                                                                                                                                                                                |
| 320   | Server error when reading an API client request.                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 321   | Server error when validating an API client request.                                                                                                                                                                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 322   | Server error when processing an API client request.                                                                                                                                                                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 323   | Server error: cause - s                                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 324   | Server error when reading a DDE client request (missing information).                                                                                                                                                                                                         | Make sure that you have specified all the needed information for your request.                                                                                                                                                                                                                                                                                                                                                           |
| 325   | Discretionary orders are not supported for this combination of exchange and order type.                                                                                                                                                                                       | Make sure that you are specifying a valid combination of exchange and order type for the discretionary order.                                                                                                                                                                                                                                                                                                                            |
| 326   | Unable to connect as the client id is already in use. Retry with a unique client id.                                                                                                                                                                                          | Another client application is already connected with the specified client id.                                                                                                                                                                                                                                                                                                                                                            |
| 327   | Only API connections with clientId set to 0 can set the auto bind TWS orders property.                                                                                                                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 328   | Trailing stop orders can be attached to limit or stop-limit orders only.                                                                                                                                                                                                      | Indicates attempt to attach trail stop to order which was not a limit or stop-limit.                                                                                                                                                                                                                                                                                                                                                     |
| 329   | Order modify failed. Cannot change to the new order type.                                                                                                                                                                                                                     | You are not allowed to modify initial order type to the specific order type you are using.                                                                                                                                                                                                                                                                                                                                               |
| 330   | Only FA or STL customers can request managed accounts list.                                                                                                                                                                                                                   | Make sure that your account type is either FA or STL.                                                                                                                                                                                                                                                                                                                                                                                    |
| 331   | Internal error. FA or STL does not have any managed accounts.                                                                                                                                                                                                                 | You do not have any managed accounts.                                                                                                                                                                                                                                                                                                                                                                                                    |
| 332   | The account codes for the order profile are invalid.                                                                                                                                                                                                                          | You need to check that the account codes you specified for your request are valid.                                                                                                                                                                                                                                                                                                                                                       |
| 333   | Invalid share allocation syntax.                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 334   | Invalid Good Till Date order                                                                                                                                                                                                                                                  | Check you order settings.                                                                                                                                                                                                                                                                                                                                                                                                                |
| 335   | Invalid delta: The delta must be between 0 and 100.                                                                                                                                                                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 336   | The time or time zone is invalid. The correct format is hh:mm:ss xxx where xxx is an optionally specified time-zone. E.g.: 15:59:00 EST Note that there is a space between the time and the time zone. If no time zone is specified, local time is assumed.                   |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 337   | The date, time, or time-zone entered is invalid. The correct format is yyyymmdd hh:mm:ss xxx where yyyymmdd and xxx are optional. E.g.: 20031126 15:59:00 ESTNote that there is a space between the date and time, and between the time and time-zone.                        |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 338   | Good After Time orders are currently disabled on this exchange.                                                                                                                                                                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 339   | Futures spread are no longer supported. Please use combos instead.                                                                                                                                                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 340   | Invalid improvement amount for box auction strategy.                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 341   | Invalid delta. Valid values are from 1 to 100. You can set the delta from the "Pegged to Stock" section of the Order Ticket Panel, or by selecting Page/Layout from the main menu and adding the Delta column.                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 342   | Pegged order is not supported on this exchange.                                                                                                                                                                                                                               | You can review all order types and supported exchanges on the Order Types and Algos page.                                                                                                                                                                                                                                                                                                                                                |
| 343   | The date, time, or time-zone entered is invalid. The correct format is yyyymmdd hh:mm:ss xxx                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 344   | The account logged into is not a financial advisor account.                                                                                                                                                                                                                   | You are trying to perform an action that is only available for the financial advisor account.                                                                                                                                                                                                                                                                                                                                            |
| 345   | Generic combo is not supported for FA advisor account.                                                                                                                                                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 346   | Not an institutional account or an away clearing account.                                                                                                                                                                                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 347   | Short sale slot value must be 1 (broker holds shares) or 2 (delivered from elsewhere).                                                                                                                                                                                        | Make sure that your slot value is either 1 or 2.                                                                                                                                                                                                                                                                                                                                                                                         |
| 348   | Order not a short sale – type must be SSHORT to specify short sale slot.                                                                                                                                                                                                      | Make sure that the action you specified is 'SSHORT'.                                                                                                                                                                                                                                                                                                                                                                                     |
| 349   | Generic combo does not support "Good After" attribute.                                                                                                                                                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 350   | Minimum quantity is not supported for best combo order.                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 351   | The "Regular Trading Hours only" flag is not valid for this order.                                                                                                                                                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 352   | Short sale slot value of 2 (delivered from elsewhere) requires location.                                                                                                                                                                                                      | You need to specify designatedLocation for your order.                                                                                                                                                                                                                                                                                                                                                                                   |
