## -*- mode: org; -*-

## The data in this file are auto-generated from
##    https://interactivebrokers.github.io/tws-api/message_codes.html

| Code  | TWS message                                                                                                                                                                                                                                                                   | Additional notes                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 103   | Duplicate order ID.                                                                                                                                                                                                                                                           | An order was placed with an order ID that is less than or equal to the order ID of a previous order from this client                                                                                                                                                                                                                                                                                                                     |
| 104   | Can't modify a filled order.                                                                                                                                                                                                                                                  | An attempt was made to modify an order which has already been filled by the system.                                                                                                                                                                                                                                                                                                                                                      |
| 105   | Order being modified does not match original order.                                                                                                                                                                                                                           | An order was placed with an order ID of a currently open order but basic parameters differed (aside from quantity or price fields)                                                                                                                                                                                                                                                                                                       |
| 106   | Can't transmit order ID:                                                                                                                                                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 107   | Cannot transmit incomplete order.                                                                                                                                                                                                                                             | Order is missing a required field.                                                                                                                                                                                                                                                                                                                                                                                                       |
| 109   | Price is out of the range defined by the Percentage setting at order defaults frame. The order will not be transmitted.                                                                                                                                                       | Price entered is outside the range of prices set in TWS or IB Gateway Order Precautionary Settings                                                                                                                                                                                                                                                                                                                                       |
| 110   | The price does not conform to the minimum price variation for this contract.                                                                                                                                                                                                  | An entered price field has more digits of precision than is allowed for this particular contract. Minimum increment information can be found on the IB Contracts and Securities Search page.                                                                                                                                                                                                                                             |
| 111   | The TIF (Tif type) and the order type are incompatible.                                                                                                                                                                                                                       | The time in force specified cannot be used with this order type. Please refer to order tickets in TWS for allowable combinations.                                                                                                                                                                                                                                                                                                        |
| 113   | The Tif option should be set to DAY for MOC and LOC orders.                                                                                                                                                                                                                   | Market-on-close or Limit-on-close orders should be sent with time in force set to 'DAY'                                                                                                                                                                                                                                                                                                                                                  |
| 114   | Relative orders are valid for stocks only.                                                                                                                                                                                                                                    | This error is deprecated.                                                                                                                                                                                                                                                                                                                                                                                                                |
| 115   | Relative orders for US stocks can only be submitted to SMART, SMART_ECN, INSTINET, or PRIMEX.                                                                                                                                                                                 | This error is deprecated.                                                                                                                                                                                                                                                                                                                                                                                                                |
| 116   | The order cannot be transmitted to a dead exchange.                                                                                                                                                                                                                           | Exchange field is invalid.                                                                                                                                                                                                                                                                                                                                                                                                               |
| 117   | The block order size must be at least 50.                                                                                                                                                                                                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 118   | VWAP orders must be routed through the VWAP exchange.                                                                                                                                                                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 119   | Only VWAP orders may be placed on the VWAP exchange.                                                                                                                                                                                                                          | When an order is routed to the VWAP exchange, the type of the order must be defined as 'VWAP'.                                                                                                                                                                                                                                                                                                                                           |
| 120   | It is too late to place a VWAP order for today.                                                                                                                                                                                                                               | The cutoff has passed for the current day to place VWAP orders.                                                                                                                                                                                                                                                                                                                                                                          |
| 121   | Invalid BD flag for the order. Check "Destination" and "BD" flag.                                                                                                                                                                                                             | This error is deprecated.                                                                                                                                                                                                                                                                                                                                                                                                                |
| 122   | No request tag has been found for order:                                                                                                                                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 123   | No record is available for conid:                                                                                                                                                                                                                                             | The specified contract ID cannot be found. This error is deprecated.                                                                                                                                                                                                                                                                                                                                                                     |
| 124   | No market rule is available for conid:                                                                                                                                                                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 125   | Buy price must be the same as the best asking price.                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 126   | Sell price must be the same as the best bidding price.                                                                                                                                                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 129   | VWAP orders must be submitted at least three minutes before the start time.                                                                                                                                                                                                   | The start time specified in the VWAP order is less than 3 minutes after when it is placed.                                                                                                                                                                                                                                                                                                                                               |
| 131   | The sweep-to-fill flag and display size are only valid for US stocks routed through SMART, and will be ignored.                                                                                                                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 132   | This order cannot be transmitted without a clearing account.                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 133   | Submit new order failed.                                                                                                                                                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 134   | Modify order failed.                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 135   | Can't find order with ID =                                                                                                                                                                                                                                                    | An attempt was made to cancel an order not currently in the system.                                                                                                                                                                                                                                                                                                                                                                      |
| 136   | This order cannot be cancelled.                                                                                                                                                                                                                                               | An attempt was made to cancel an order than cannot be cancelled, for instance because                                                                                                                                                                                                                                                                                                                                                    |
| 137   | VWAP orders can only be cancelled up to three minutes before the start time.                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 138   | Could not parse ticker request:                                                                                                                                                                                                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 139   | Parsing error:                                                                                                                                                                                                                                                                | Error in command syntax generated parsing error.                                                                                                                                                                                                                                                                                                                                                                                         |
| 140   | The size value should be an integer:                                                                                                                                                                                                                                          | The size field in the Order class has an invalid type.                                                                                                                                                                                                                                                                                                                                                                                   |
| 141   | The price value should be a double:                                                                                                                                                                                                                                           | A price field in the Order type has an invalid type.                                                                                                                                                                                                                                                                                                                                                                                     |
| 142   | Institutional customer account does not have account info                                                                                                                                                                                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 143   | Requested ID is not an integer number.                                                                                                                                                                                                                                        | The IDs used in API requests must be integer values.                                                                                                                                                                                                                                                                                                                                                                                     |
